date,month,temperature,rainfall,humidity,lake_name,elevation,lake_area,glacier_area
2023-06-16,6,1.2999999999999998,0.0,69.3874583110244,Imja Tsho,5010,1.28,4.5
2023-06-17,6,1.0,0.2,91.96620840231975,Imja Tsho,5010,1.28,4.5
2023-06-18,6,2.1500000000000004,0.3,94.75120146348029,Imja Tsho,5010,1.28,4.5
2023-06-19,6,1.6500000000000001,0.8,84.53234070783229,Imja Tsho,5010,1.28,4.5
2023-06-20,6,1.35,0.9,89.38048919400488,Imja Tsho,5010,1.28,4.5
2023-06-21,6,2.25,1.3,80.33889982401038,Imja Tsho,5010,1.28,4.5
2023-06-22,6,2.6999999999999997,0.9,83.92677888370221,Imja Tsho,5010,1.28,4.5
2023-06-23,6,4.25,2.3,87.96532995730914,Imja Tsho,5010,1.28,4.5
2023-06-24,6,3.7,1.6,80.01657685098243,Imja Tsho,5010,1.28,4.5
2023-06-25,6,2.5,2.7,92.15995386495192,Imja Tsho,5010,1.28,4.5
2023-06-26,6,0.7,2.4,93.48804444955654,Imja Tsho,5010,1.28,4.5
2023-06-27,6,0.7000000000000002,1.9,76.8379765415068,Imja Tsho,5010,1.28,4.5
2023-06-28,6,1.8,1.2,89.74943877837875,Imja Tsho,5010,1.28,4.5
2023-06-29,6,1.7,4.6,82.72472701992402,Imja Tsho,5010,1.28,4.5
2023-06-30,6,1.0999999999999999,4.1,85.44647221093112,Imja Tsho,5010,1.28,4.5
2023-07-01,7,1.85,5.9,94.76195628151191,Imja Tsho,5010,1.28,4.5
2023-07-02,7,2.65,5.0,90.8078134083336,Imja Tsho,5010,1.28,4.5
2023-07-03,7,0.5999999999999999,2.6,89.75005051800682,Imja Tsho,5010,1.28,4.5
2023-07-04,7,1.7,4.5,88.78029820444932,Imja Tsho,5010,1.28,4.5
2023-07-05,7,1.8,1.4,93.91023863657313,Imja Tsho,5010,1.28,4.5
2023-07-06,7,2.35,2.2,94.60498287793428,Imja Tsho,5010,1.28,4.5
2023-07-07,7,2.55,6.2,88.02512582572027,Imja Tsho,5010,1.28,4.5
2023-07-08,7,1.1500000000000001,3.3,83.80093514742302,Imja Tsho,5010,1.28,4.5
2023-07-09,7,0.9000000000000001,3.4,83.20081257535385,Imja Tsho,5010,1.28,4.5
2023-07-10,7,3.2,1.4,83.52370647579717,Imja Tsho,5010,1.28,4.5
2023-07-11,7,2.6999999999999997,3.0,87.10149891042205,Imja Tsho,5010,1.28,4.5
2023-07-12,7,2.55,4.8,89.3175071015674,Imja Tsho,5010,1.28,4.5
2023-07-13,7,2.4,3.4,84.53103595415897,Imja Tsho,5010,1.28,4.5
2023-07-14,7,2.4499999999999997,12.8,85.1703952180374,Imja Tsho,5010,1.28,4.5
2023-07-15,7,2.5,5.8,81.43668334633436,Imja Tsho,5010,1.28,4.5
2023-07-16,7,2.75,5.5,92.92699778610597,Imja Tsho,5010,1.28,4.5
2023-07-17,7,3.25,3.9,88.47354635184105,Imja Tsho,5010,1.28,4.5
2023-07-18,7,1.6500000000000001,4.1,77.40659635527732,Imja Tsho,5010,1.28,4.5
2023-07-19,7,2.0,4.2,82.4929844479207,Imja Tsho,5010,1.28,4.5
2023-07-20,7,2.9,4.4,94.46908804045009,Imja Tsho,5010,1.28,4.5
2023-07-21,7,2.1,3.9,78.69780848310478,Imja Tsho,5010,1.28,4.5
2023-07-22,7,2.0,7.0,83.37224719144432,Imja Tsho,5010,1.28,4.5
2023-07-23,7,2.0,4.6,94.33121525251019,Imja Tsho,5010,1.28,4.5
2023-07-24,7,2.0,3.8,90.36565556038117,Imja Tsho,5010,1.28,4.5
2023-07-25,7,2.15,3.6,76.4279566061348,Imja Tsho,5010,1.28,4.5
2023-07-26,7,2.1,3.2,90.58694295790868,Imja Tsho,5010,1.28,4.5
2023-07-27,7,2.9000000000000004,2.7,87.59834542479919,Imja Tsho,5010,1.28,4.5
2023-07-28,7,1.8000000000000003,1.9,94.99382841370301,Imja Tsho,5010,1.28,4.5
2023-07-29,7,2.75,1.7,78.75144128487229,Imja Tsho,5010,1.28,4.5
2023-07-30,7,3.3,2.3,93.60882553595457,Imja Tsho,5010,1.28,4.5
2023-07-31,7,3.7,3.0,89.65538054775769,Imja Tsho,5010,1.28,4.5
2023-08-01,8,3.25,13.1,93.08647080557851,Imja Tsho,5010,1.28,4.5
2023-08-02,8,3.85,1.9,91.30185059343646,Imja Tsho,5010,1.28,4.5
2023-08-03,8,2.3,2.4,91.39046941086275,Imja Tsho,5010,1.28,4.5
2023-08-04,8,1.9499999999999997,7.7,90.05302062205085,Imja Tsho,5010,1.28,4.5
2023-08-05,8,2.85,4.8,78.37583568599877,Imja Tsho,5010,1.28,4.5
2023-08-06,8,3.25,8.8,75.3270970911286,Imja Tsho,5010,1.28,4.5
2023-08-07,8,3.5,4.7,80.7401628384687,Imja Tsho,5010,1.28,4.5
2023-08-08,8,3.3,6.9,75.64021077436144,Imja Tsho,5010,1.28,4.5
2023-08-09,8,3.1,3.7,75.63968776239807,Imja Tsho,5010,1.28,4.5
2023-08-10,8,2.35,4.0,93.11263041648282,Imja Tsho,5010,1.28,4.5
2023-08-11,8,3.0,2.5,85.44085251426351,Imja Tsho,5010,1.28,4.5
2023-08-12,8,3.55,4.5,86.1598488363912,Imja Tsho,5010,1.28,4.5
2023-08-13,8,2.7,7.9,90.59571301905764,Imja Tsho,5010,1.28,4.5
2023-08-14,8,1.9000000000000001,3.4,82.22744217133905,Imja Tsho,5010,1.28,4.5
2023-08-15,8,2.6,1.2,88.50118364536534,Imja Tsho,5010,1.28,4.5
2023-08-16,8,2.8,9.1,86.05097854923552,Imja Tsho,5010,1.28,4.5
2023-08-17,8,2.85,1.5,90.38991250427222,Imja Tsho,5010,1.28,4.5
2023-08-18,8,3.15,1.0,85.39988513079435,Imja Tsho,5010,1.28,4.5
2023-08-19,8,2.7,1.2,79.59072719104924,Imja Tsho,5010,1.28,4.5
2023-08-20,8,3.15,2.3,76.33222297897554,Imja Tsho,5010,1.28,4.5
2023-08-21,8,3.4,8.6,80.96134879550489,Imja Tsho,5010,1.28,4.5
2023-08-22,8,2.75,11.7,81.32905333001801,Imja Tsho,5010,1.28,4.5
2023-08-23,8,2.65,3.6,93.81117689549254,Imja Tsho,5010,1.28,4.5
2023-08-24,8,2.3499999999999996,8.3,91.70071589921051,Imja Tsho,5010,1.28,4.5
2023-08-25,8,0.25,0.9,94.27367034012781,Imja Tsho,5010,1.28,4.5
2023-08-26,8,0.3999999999999999,0.4,87.11661024791879,Imja Tsho,5010,1.28,4.5
2023-08-27,8,-1.9000000000000001,0.6,77.74127350339427,Imja Tsho,5010,1.28,4.5
2023-08-28,8,0.5999999999999999,0.3,83.2871290240059,Imja Tsho,5010,1.28,4.5
2023-08-29,8,1.3,0.0,65.84106711532742,Imja Tsho,5010,1.28,4.5
2023-08-30,8,1.9,0.5,90.92572181518071,Imja Tsho,5010,1.28,4.5
2023-08-31,8,1.85,1.1,93.37585041892982,Imja Tsho,5010,1.28,4.5
2023-09-01,9,2.6,1.5,75.40499468873273,Imja Tsho,5010,1.28,4.5
2023-09-02,9,1.8000000000000003,0.2,84.15327264885455,Imja Tsho,5010,1.28,4.5
2023-09-03,9,-0.19999999999999996,0.3,93.6148133749031,Imja Tsho,5010,1.28,4.5
2023-09-04,9,-0.19999999999999996,0.1,80.51738329543167,Imja Tsho,5010,1.28,4.5
2023-09-05,9,-0.34999999999999987,0.0,57.35823850588789,Imja Tsho,5010,1.28,4.5
2023-09-06,9,0.0,0.1,93.25969575794574,Imja Tsho,5010,1.28,4.5
2023-09-07,9,0.75,0.4,83.60709799300592,Imja Tsho,5010,1.28,4.5
2023-09-08,9,1.35,0.8,92.70339789411265,Imja Tsho,5010,1.28,4.5
2023-09-09,9,1.6,2.2,94.99519491496437,Imja Tsho,5010,1.28,4.5
2023-09-10,9,1.0499999999999998,0.9,79.94782896994087,Imja Tsho,5010,1.28,4.5
2023-09-11,9,2.05,0.6,85.4724913883426,Imja Tsho,5010,1.28,4.5
2023-09-12,9,2.55,1.1,84.55698457893769,Imja Tsho,5010,1.28,4.5
2023-09-13,9,2.4,1.1,91.7781233135812,Imja Tsho,5010,1.28,4.5
2023-09-14,9,1.9,1.0,88.276534264017,Imja Tsho,5010,1.28,4.5
2023-09-15,9,0.0,0.1,93.22519991840167,Imja Tsho,5010,1.28,4.5
2023-09-16,9,-0.050000000000000044,0.2,89.10679592502031,Imja Tsho,5010,1.28,4.5
2023-09-17,9,-1.2,1.6,90.93731545187461,Imja Tsho,5010,1.28,4.5
2023-09-18,9,-0.19999999999999996,0.2,82.34827542610911,Imja Tsho,5010,1.28,4.5
2023-09-19,9,-0.3500000000000001,0.9,75.65719937806696,Imja Tsho,5010,1.28,4.5
2023-09-20,9,0.44999999999999996,3.1,82.98720806721589,Imja Tsho,5010,1.28,4.5
2023-09-21,9,0.4,1.4,80.66017749557585,Imja Tsho,5010,1.28,4.5
2023-09-22,9,0.3500000000000001,1.8,89.45142294981049,Imja Tsho,5010,1.28,4.5
2023-09-23,9,0.04999999999999993,0.5,80.01234992015748,Imja Tsho,5010,1.28,4.5
2023-09-24,9,-0.5499999999999999,0.6,91.13724674147514,Imja Tsho,5010,1.28,4.5
2023-09-25,9,-0.65,0.0,67.51242738761245,Imja Tsho,5010,1.28,4.5
2023-09-26,9,0.35,0.0,48.18530993743134,Imja Tsho,5010,1.28,4.5
2023-09-27,9,0.3999999999999999,0.2,82.5218435279002,Imja Tsho,5010,1.28,4.5
2023-09-28,9,-0.3500000000000001,0.0,59.75840864209192,Imja Tsho,5010,1.28,4.5
